f1,f2,c,id,stim_type,stim
-1.87481181428957,-1.78279251880948,0,1,learn,L1
4.78850576128638,4.52296495284132,0,2,learn,L2
5.44104694192171,5.74675715206952,0,3,learn,L3
-3.6443518165071,-0.678950000151332,1,4,learn,L4
1.53805215285124,3.9153889577802,1,5,learn,L5
-4.03805215285124,-3.6653889577802,0,6,learn,L6
-3.38210011039243,-3.77146347623162,0,7,learn,L7
1.1443518165071,0.928950000151332,0,8,learn,L8
-5.55634619548501,-2.48355920733567,1,9,learn,L9
1.82525809607953,4.74224278073692,1,10,learn,L10
-7.28850576128638,-4.27296495284132,1,11,learn,L11
0.88210011039243,4.02146347623162,1,12,learn,L12
-2.63424967277899,-0.415358110318393,1,13,learn,L13
-0.944278214366407,-0.885701689158013,0,14,learn,L14
-1.55572178563359,1.13570168915801,1,15,learn,L15
-4.32525809607953,-4.49224278073692,0,16,learn,L16
0.134249672778992,0.665358110318393,0,17,learn,L17
3.05634619548501,2.73355920733567,0,18,learn,L18
-0.62518818571043,2.03279251880948,1,19,learn,L19
-7.94104694192171,-5.49675715206952,1,20,learn,L20
-7.80591425448105,-8.30763572810428,,21,transfer,T1
-7.30867766042369,-7.76257959276609,,22,transfer,T2
-6.81144106636633,-7.21752345742789,,23,transfer,T3
-6.31420447230897,-6.6724673220897,,24,transfer,T4
3.81420447230897,6.9224673220897,,25,transfer,T5
4.31144106636633,7.46752345742789,,26,transfer,T6
4.80867766042369,8.01257959276609,,27,transfer,T7
5.30591425448105,8.55763572810428,,28,transfer,T8
-8.30315084853841,-6.1274111867515,,29,filler,F1
-5.81696787825161,-6.1274111867515,,30,filler,F2
-5.31973128419425,-5.58235505141331,,31,filler,F3
-4.82249469013689,-5.03729891607511,,32,filler,F4
2.32249469013689,5.28729891607511,,33,filler,F5
2.81973128419425,5.83235505141331,,34,filler,F6
3.31696787825161,6.3774111867515,,35,filler,F7
5.80315084853841,6.3774111867515,,36,filler,F8
